gsr_max,gsr_min,min_ra,max_ra,gsr_mean,gsr_sd,gsr_var,ecg_avg,ecg_median,ecg_sd,fear,angry,happy,sad,class
9.65,7.5,0.777,1.287,8.396,0.569,0.323,0.930027891,0.8232965,0.479210017,3,2,1,2,3
10.04,6.91,0.688,1.453,7.763,0.653,0.426,3.542570033,0.950501,8.880390715,1,1,1,5,1
11.11,7.3,0.657,1.522,8.502,0.862,0.743,0.905499592,0.8234305,0.307659685,1,1,4,1,0
9.45,7.89,0.835,1.198,8.925,0.415,0.172,0.893933889,0.80899,0.460317919,2,2,1,4,1
11.7,7.6,0.65,1.539,9.147,1.205,1.453,0.888475681,0.7946955,0.325274902,2,5,1,2,2
9.55,7.89,0.826,1.21,8.411,0.406,0.165,0.077918688,0.044682,0.136907463,2,4,1,4,2
10.33,8.28,0.802,1.248,8.911,0.375,0.141,0.348636128,0.13928,3.236177435,4,1,1,1,3
13.66,7.89,0.578,1.731,9.912,1.654,2.737,0.112752855,0.139253,0.047821368,2,5,1,2,2
9.94,8.28,0.833,1.2,8.658,0.338,0.115,0.139960252,0.139295,0.061334842,2,5,1,3,2
10.33,8.67,0.839,1.191,9.146,0.434,0.189,0.131578792,0.139277,0.059602959,2,2,1,4,1
10.43,8.28,0.794,1.26,9.12,0.471,0.221,0.525779618,0.139604,0.59617864,1,1,4,3,0
10.63,8.67,0.816,1.226,9.412,0.319,0.102,0.060686435,0.044749,0.02781406,5,2,1,3,3
10.43,8.28,0.794,1.26,8.773,0.398,0.158,0.353476712,0.053468,1.039796508,1,2,1,5,1
11.6,8.87,0.765,1.308,9.844,0.727,0.528,0.052149333,0.044466,0.019262868,2,5,1,1,2
10.63,8.28,0.779,1.284,8.977,0.472,0.223,1.095036775,0.8234105,0.962986176,2,2,1,5,1
10.53,8.38,0.796,1.257,8.989,0.499,0.249,5.415724432,0.1392855,14.96942453,1,1,4,1,0
11.99,9.06,0.756,1.323,10.021,0.503,0.253,1.240818829,0.725197,3.234726464,1,1,5,1,0
13.46,9.65,0.717,1.395,10.496,0.649,0.421,3.903686667,0.776133,16.35275172,3,4,1,4,1
9.65,7.99,0.828,1.208,8.826,0.461,0.213,0.755152051,0.782392,0.64475501,5,2,1,4,3
10.04,6.91,0.688,1.453,8.154,0.68,0.463,0.912103581,0.8358,0.637324588,1,1,1,5,1
11.11,8.28,0.745,1.342,9.271,0.46,0.212,0.963137719,0.8110235,0.636003152,1,1,5,1,0
9.45,9.06,0.959,1.043,9.239,0.124,0.015,0.8026999,0.852022,0.421316296,5,1,1,5,1
11.7,8.77,0.75,1.334,10.211,0.718,0.516,0.982861913,0.810898,0.695877514,1,5,1,3,2
12.48,9.06,0.726,1.377,10.364,0.698,0.488,0.918400968,0.8234145,0.611180011,2,4,1,4,2
14.73,9.65,0.655,1.526,11.664,1.027,1.054,0.873040134,0.835911,0.616045685,5,1,1,4,3
13.66,10.53,0.771,1.297,11.575,0.688,0.473,1.068451656,0.8583975,0.693700765,1,5,1,3,2
13.66,11.51,0.843,1.187,12.345,0.571,0.325,1.306944271,0.831579,1.154172531,1,5,1,3,2
14.63,11.9,0.813,1.229,12.648,0.608,0.369,1.162293573,0.851706,0.757723615,4,1,1,5,1
14.24,11.02,0.774,1.292,12.021,0.843,0.711,1.114544933,0.8644875,0.761097484,1,1,4,1,0
15.12,10.43,0.69,1.45,11.81,0.986,0.971,0.853811058,0.753604,0.878116376,5,1,1,4,3
16.3,11.7,0.718,1.393,13.079,1.109,1.23,1.130417975,0.76617,1.034590307,1,1,1,5,1
14.83,11.31,0.763,1.311,12.635,0.917,0.841,1.336552827,0.823492,1.209979561,1,5,1,2,2
15.22,11.9,0.782,1.279,13.149,0.773,0.598,1.367593506,0.810988,1.257022108,1,1,1,4,1
16.1,12.29,0.763,1.31,13.339,0.815,0.665,0.930781503,0.769875,0.979169198,1,2,1,2,0
